,o_id,o_customer_id,o_order_number,o_currency,o_subtotal,o_tax,o_shipping,o_total,o_shipping_carrier,o_shipping_method,o_payment_status,o_payment_date,o_payment_type,o_payment_amount,o_payment_id,o_payment_code,o_status,o_placed_date,o_updated_date,o_shipped_date,o_customer_type
578,2440,488,2440,USD,117.21,0.0,0.0,117.21,manual,0Free Shipping,3.0,1417616336,authorize.net,117.21,6721623281.0,5728.0,1,1417616336,1438868410,1417706585,0.0
579,2441,489,2441,USD,53.12,0.0,0.0,50.99,manual,0Free Shipping,3.0,1417623024,authorize.net,50.99,3285178019195.542,132578.05607205114,1,1417623024,1438868410,1417706706,0.0
580,2450,490,2450,USD,119.99,0.0,9.95,129.94,fedex,11Ground,3.0,1417637399,authorize.net,129.94,6723045462.0,645.0,1,1417637399,1438868410,1417731256,0.0
581,2451,491,2451,USD,37.31,4.859279839268475,9.95,47.49,fedex,11Ground,3.0,1417638185,authorize.net,47.49,3285178019195.542,132578.05607205114,1,1417638185,1438868410,1417656542,0.0
582,3113,491,3113,USD,37.31,0.0,9.95,47.49,manual,0Standard Shipping,3.0,1421167380,authorize.net,47.49,3285178019195.542,132578.05607205114,3,1421167380,1438868410,1442166991,0.0
583,2461,493,2461,USD,55.5,4.859279839268475,9.95,68.38,fedex,11Ground,3.0,1417712110,authorize.net,68.38,3285178019195.542,132578.05607205114,1,1417712110,1438868410,1417721894,0.0
584,2463,494,2463,USD,736.25,51.54,0.0,787.79,manual,0Free Shipping,3.0,1417714245,authorize.net,787.79,6725754743.0,1405.0,3,1417714245,1438868410,1442166991,0.0
585,2464,495,2464,USD,22.13,0.0,0.0,22.13,manual,0Free Shipping,3.0,1417715126,authorize.net,22.13,6725812630.0,107766.0,1,1417715126,1438868410,1417796019,0.0
586,2482,496,2482,USD,19.0,0.0,9.95,28.95,fedex,11Ground,3.0,1417800268,authorize.net,28.95,6729288330.0,182741.0,1,1417800268,1438868410,1418081596,0.0
587,2487,497,2487,USD,32.98,4.859279839268475,9.95,42.93,fedex,11Ground,3.0,1417824028,authorize.net,42.93,6730803032.0,7374.0,1,1417824028,1438868410,1418083941,0.0
588,2501,498,2501,USD,343.75,0.0,0.0,343.75,manual,0Free Shipping,3.0,1417900069,authorize.net,343.75,6732784791.0,75016.0,1,1417900069,1438868410,1418139080,0.0
589,2551,499,2551,USD,96.38,4.859279839268475,9.95,101.51,fedex,11Ground,3.0,1418089123,authorize.net,101.51,6738782267.0,35893.0,1,1418089123,1438868410,1418160525,0.0
590,2536,501,2536,USD,113.39,4.859279839268475,9.95,116.3,fedex,11Ground,3.0,1418059116,authorize.net,116.3,3285178019195.542,132578.05607205114,1,1418059116,1438868410,1418075691,0.0
591,2537,502,2537,USD,53.12,0.0,0.0,50.99,manual,0Free Shipping,3.0,1418059243,authorize.net,50.99,3285178019195.542,132578.05607205114,1,1418059243,1438868410,1418140320,0.0
592,3604,502,3604,USD,57.19,0.0,0.0,56.12,manual,0Free Shipping,3.0,1424705332,authorize.net,56.12,3285178019195.542,132578.05607205114,1,1424705332,1438868410,1424877396,0.0
593,2538,503,2538,USD,39.2,4.859279839268475,9.95,46.99,fedex,11Ground,3.0,1418059470,authorize.net,46.99,3285178019195.542,132578.05607205114,1,1418059470,1438868410,1418163115,0.0
594,3214,503,3214,USD,39.55,4.859279839268475,9.95,46.99,fedex,11Ground,3.0,1421767631,authorize.net,46.99,3285178019195.542,132578.05607205114,1,1421767631,1438868410,1421798933,0.0
595,5143,503,5143,USD,39.55,0.0,9.95,46.99,fedex,11Ground,3.0,1437662861,Credit Card,46.99,3285178019195.542,132578.05607205114,1,1437662841,1440536046,1437751809,0.0
596,2539,504,2539,USD,53.12,0.0,0.0,50.99,manual,0Free Shipping,3.0,1418059603,authorize.net,50.99,3285178019195.542,132578.05607205114,1,1418059603,1438868410,1418140343,0.0
597,2554,505,2554,USD,17.39,0.0,9.95,27.34,fedex,11Ground,3.0,1418101855,authorize.net,27.34,6739185810.0,16185.0,1,1418101855,1438868410,1418174965,0.0
598,2560,506,2560,USD,689.99,0.0,0.0,689.99,manual,0Free Shipping,3.0,1418149485,authorize.net,689.99,6740738500.0,9798.0,3,1418149485,1438868410,1442166991,0.0
599,2562,507,2562,USD,39.2,4.859279839268475,9.95,46.99,fedex,11Ground,3.0,1418161922,authorize.net,46.99,3285178019195.542,132578.05607205114,1,1418161922,1438868410,1418241091,0.0
600,2572,508,2572,USD,152.99,0.0,0.0,152.99,manual,0Free Shipping,3.0,1418185160,authorize.net,152.99,6742491719.0,926.0,1,1418185160,1438868410,1418314068,0.0
601,2584,509,2584,USD,357.99,0.0,0.0,357.99,manual,1Free Shipping,3.0,1418240885,authorize.net,357.99,6744550572.0,4274.0,1,1418240885,1438868410,1418314875,0.0
602,2587,510,2587,USD,207.24,0.0,9.95,202.19,fedex,11Ground,3.0,1418248512,authorize.net,202.19,6745063575.0,1070.0,1,1418248512,1438868410,1418318860,0.0
603,2601,511,2601,USD,53.12,0.0,0.0,50.99,manual,0Free Shipping,3.0,1418317494,authorize.net,50.99,3285178019195.542,132578.05607205114,1,1418317494,1438868410,1418395573,0.0
604,2604,512,2604,USD,79.89,0.0,9.95,89.84,fedex,11Ground,3.0,1418319262,authorize.net,89.84,6747381390.0,2746.0,1,1418319262,1438868410,1418342243,0.0
605,2614,513,2614,USD,93.86,0.0,9.95,99.12,fedex,11Ground,3.0,1418342376,authorize.net,99.12,6748747093.0,169014.0,1,1418342376,1438868410,1423268193,0.0
606,2616,514,2616,USD,165.6,4.859279839268475,0.0,165.6,fedex,11Ground,3.0,1418342807,authorize.net,165.6,6748766672.0,9500.0,1,1418342807,1438868410,1418429981,0.0
607,4326,515,4326,USD,183.91,4.859279839268475,0.0,183.91,fedex,11Ground,3.0,1432230535,authorize.net,183.91,7197461483.0,5726.0,1,1432230535,1440534716,1432254783,0.0
608,4326,515,4326,USD,183.91,4.859279839268475,0.0,183.91,fedex,11Ground,3.0,1432230535,authorize.net,183.91,7197461483.0,5726.0,1,1432230535,1440534716,1432254783,0.0
609,2623,515,2623,USD,240.96,0.0,0.0,240.96,fedex,11Ground,3.0,1418360785,authorize.net,240.96,6749310609.0,8785.0,1,1418360785,1438868410,1418866227,0.0
610,2623,515,2623,USD,240.96,0.0,0.0,240.96,fedex,11Ground,3.0,1418360785,authorize.net,240.96,6749310609.0,8785.0,1,1418360785,1438868410,1418866227,0.0
611,3119,515,3119,USD,240.96,4.859279839268475,0.0,240.96,fedex,11Ground,3.0,1421202635,authorize.net,240.96,6835123575.0,1164.0,1,1421202635,1438868410,1421285438,0.0
612,3119,515,3119,USD,240.96,4.859279839268475,0.0,240.96,fedex,11Ground,3.0,1421202635,authorize.net,240.96,6835123575.0,1164.0,1,1421202635,1438868410,1421285438,0.0
613,3653,515,3653,USD,156.0,4.859279839268475,0.0,156.0,fedex,11Ground,3.0,1425259099,authorize.net,156.0,6966824170.0,4622.0,1,1425259099,1438868410,1425350792,0.0
614,3972,515,3972,USD,156.0,4.859279839268475,0.0,156.0,fedex,11Ground,3.0,1427982494,authorize.net,156.0,7058355646.0,4491.0,1,1427982494,1438868410,1428020932,0.0
615,4476,515,4476,USD,94.59,4.859279839268475,9.95,104.54,fedex,11Ground,3.0,1433463003,authorize.net,104.54,7236377917.0,181.0,1,1433463003,1440534954,1433551089,0.0
616,4476,515,4476,USD,94.59,4.859279839268475,9.95,104.54,fedex,11Ground,3.0,1433463003,authorize.net,104.54,7236377917.0,181.0,1,1433463003,1440534954,1433551089,0.0
617,5852,515,5852,USD,198.48,0.0,0.0,198.48,fedex,11Ground,3.0,1440980207,authorize.net,198.48,7481852213.0,9494.0,1,1440980207,1441251132,1441053006,0.0
618,5852,515,5852,USD,198.48,0.0,0.0,198.48,fedex,11Ground,3.0,1440980207,authorize.net,198.48,7481852213.0,9494.0,1,1440980207,1441251132,1441053006,0.0
619,4790,515,4790,USD,156.0,0.0,0.0,156.0,fedex,11Ground,3.0,1435965238,authorize.net,156.0,7319084579.0,2021.0,1,1435965238,1440535473,1436248936,0.0
620,5247,515,5247,USD,188.96,0.0,0.0,188.96,fedex,11Ground,3.0,1438226387,authorize.net,188.96,7393546400.0,8459.0,1,1438226387,1442116865,1438384831,0.0
621,5247,515,5247,USD,188.96,0.0,0.0,188.96,fedex,11Ground,3.0,1438226387,authorize.net,188.96,7393546400.0,8459.0,1,1438226387,1442116865,1438384831,0.0
622,8449,515,8449,USD,21.31,0.0,9.95,31.26,fedex,11Ground,3.0,1447728169,authorize.net,31.26,7715252630.0,7614.0,1,1447728169,1447801372,1447795698,0.0
623,8884,515,8884,USD,107.62,0.0,9.95,106.81,fedex,11Ground,3.0,1448426125,authorize.net,106.81,7738051830.0,5885.0,1,1448426125,1448564190,1448488755,0.0
624,9103,515,9103,USD,52.11,0.0,9.95,62.06,fedex,11Ground,3.0,1448839132,authorize.net,62.06,7749797973.0,5678.0,1,1448839132,1449072224,1448918891,0.0
