,p_id,p_status,p_vendor,p_import_id,p_list_price,p_price,p_sale_price,p_cost,p_flags,p_left_flag,p_last_modified,p_taxable,p_shopping_gtin,p_shopping_flags,p_shopping_cat,p_shopzilla_cat,p_qb_edit_sequence,p_seo_category,p_length,p_width,p_height,p_upc,p_case_qty,p_override_markup,p_import_flags,p_hygienic,p_shipping_length,p_shipping_width,p_shipping_height,p_saved_status
2428,1213.0,3.0,1.0,3.0,26.73,19.09,70.7540948275862,3.47,32896.0,6.0,1463162723.0,1.0,28651786658649.11,62.0,199.0,22005.0,1450323087.0,0.0,21.292014028056112,19.191184738955823,13.587991967871485,884389000000.0,1.0,0.0,65.05994256999283,0.06442307692307692,2.0,2.0,5.75,3.0
2429,3237.0,0.0,2.0,1.0,194.97,77.99,77.99,59.99,64.0,5.811138014527845,1463404404.0,1.0,50822400000000.0,62.0,199.0,22005.0,1450467475.0,0.0,27.5,24.5,32.0,822383000000.0,162.88514025777104,0.0,0.0,0.0,31.0,24.2,7.6,0.0
2430,15753.0,0.0,5.0,8.0,225.0,168.75,70.7540948275862,135.0,9549.464680281219,5.811138014527845,1457981256.0,0.9408583981074687,714905000000.0,62.0,199.0,22005.0,1450462806.0,0.0,10.0,5.0,2.5,714905000000.0,162.88514025777104,0.16643835616438357,65.05994256999283,0.06442307692307692,12.0,8.0,4.0,0.0
2431,3282.0,0.0,2.0,1.0,379.57,155.44,70.7540948275862,122.39,0.0,5.811138014527845,1463404404.0,1.0,50822400000000.0,62.0,199.0,22005.0,1450467545.0,0.0,38.0,22.0,38.0,822383000000.0,162.88514025777104,0.0,8.0,0.0,30.8,27.0,11.0,0.0
2432,3314.0,0.0,2.0,1.0,32.0,21.3,70.7540948275862,13.74,9549.464680281219,5.811138014527845,1463404404.0,0.9408583981074687,10822400000000.0,62.0,199.0,22005.0,1450467585.0,0.0,3.0,4.0,3.0,822383000000.0,162.88514025777104,0.16643835616438357,0.0,0.0,3.94,3.94,3.15,0.0
2433,2927.0,0.0,2.0,1.0,87.32,40.97,70.7540948275862,29.69,9549.464680281219,5.811138014527845,1463404404.0,0.9408583981074687,50822400000000.0,61.543528210365075,199.0,22005.0,1450467104.0,0.0,16.0,16.0,3.0,822384000000.0,162.88514025777104,0.16643835616438357,0.0,0.0,16.5,16.5,3.93,0.0
2434,14204.0,3.0,7.0,6.0,64.2,55.58,70.7540948275862,39.7,9549.464680281219,6.0,1457980121.0,0.9408583981074687,656175000000.0,62.0,199.0,22005.0,1450469658.0,0.0,5.75,2.5,14.74,656175000000.0,162.88514025777104,0.16643835616438357,0.0,0.06442307692307692,14.0,8.0,6.0,3.0
2435,4309.0,0.0,1.0,3.0,111.97,79.98,70.7540948275862,61.05,9549.464680281219,5.811138014527845,1463162723.0,0.9408583981074687,40080200000000.0,62.0,199.0,22005.0,1450324883.0,0.0,21.292014028056112,19.191184738955823,13.587991967871485,550459056769.3319,100.0,0.16643835616438357,65.05994256999283,0.06442307692307692,19.002,13.252,14.502,0.0
2436,17054.0,3.0,5.0,8.0,10.0,15.5,70.7540948275862,5.0,0.0,6.0,1457981256.0,0.0,714905000000.0,62.0,199.0,22005.0,1450329242.378487,0.0,21.292014028056112,19.191184738955823,13.587991967871485,714905000000.0,162.88514025777104,0.0,0.0,0.0,10.0,4.5,2.5,3.0
2437,1867.0,3.0,1.0,3.0,134.39,95.99,70.99,50.03,1.0,6.0,1462904230.0,1.0,28651786658649.11,62.0,199.0,22005.0,1450324095.0,0.0,21.292014028056112,19.191184738955823,13.587991967871485,550459056769.3319,1.0,1.0,143.0,0.0,12.0,5.0,3.75,3.0
2438,1862.0,3.0,1.0,3.0,81.62,58.3,37.99,22.0,0.0,6.0,1462369955.0,1.0,40080200000000.0,63.0,199.0,22005.0,1450324088.0,0.0,21.292014028056112,19.191184738955823,13.587991967871485,550459056769.3319,1000.0,1.0,0.0,0.0,4.8,5.7,9.0,3.0
2439,1867.0,3.0,1.0,3.0,134.39,95.99,70.99,50.03,1.0,6.0,1462904230.0,1.0,28651786658649.11,62.0,199.0,22005.0,1450324095.0,0.0,21.292014028056112,19.191184738955823,13.587991967871485,550459056769.3319,1.0,1.0,143.0,0.0,12.0,5.0,3.75,3.0
2440,1862.0,3.0,1.0,3.0,81.62,58.3,37.99,22.0,0.0,6.0,1462369955.0,1.0,40080200000000.0,63.0,199.0,22005.0,1450324088.0,0.0,21.292014028056112,19.191184738955823,13.587991967871485,550459056769.3319,1000.0,1.0,0.0,0.0,4.8,5.7,9.0,3.0
2441,947.0,0.0,1.0,3.0,23.88,17.06,70.7540948275862,9.75,0.0,5.811138014527845,1462369955.0,1.0,10080200000000.0,62.0,199.0,22005.0,1450322730.0,0.0,21.292014028056112,19.191184738955823,13.587991967871485,80196740645.0,1.0,0.0,65.05994256999283,0.06442307692307692,31.25,6.0,2.0,0.0
2442,1496.0,0.0,1.0,3.0,34.5,24.64,70.7540948275862,16.99,0.0,5.811138014527845,1463079816.0,1.0,30080200000000.0,62.0,199.0,22005.0,1450323548.0,0.0,21.292014028056112,19.191184738955823,13.587991967871485,550459056769.3319,5.0,0.0,128.0,0.0,5.5,5.5,1.25,0.0
2443,4518.398067872183,0.9871191478820907,1.6296755016101065,3.40029725043349,121.68332088623352,74.26604311199208,70.7540948275862,52.318191726529605,9549.464680281219,5.811138014527845,1462427670.052762,0.9408583981074687,28651786658649.11,61.543528210365075,199.0,22005.0,1450329242.378487,0.0,21.292014028056112,19.191184738955823,13.587991967871485,550459056769.3319,162.88514025777104,0.16643835616438357,65.05994256999283,0.06442307692307692,17.208216108054028,10.872749874937469,11.592447223611806,0.8763358778625954
2444,993.0,3.0,1.0,3.0,175.81,129.99,129.99,91.0,0.0,6.0,1463162723.0,1.0,10080200000000.0,62.0,199.0,22005.0,1450322796.0,0.0,21.292014028056112,19.191184738955823,13.587991967871485,80196775531.0,1.0,0.0,8.0,0.0,25.25,8.6,23.2,3.0
2445,17175.0,3.0,5.0,8.0,75.0,72.66,62.99,45.0,0.0,6.0,1463414718.0,1.0,603865000000.0,62.0,199.0,22005.0,1450329242.378487,0.0,10.0,4.0,3.5,603865000000.0,162.88514025777104,1.0,72.0,0.0,10.0,4.0,3.5,0.8763358778625954
2446,4395.0,2.0,2.0,1.0,29.32,24.42,70.7540948275862,16.84,0.0,5.811138014527845,1463404404.0,1.0,50822400000000.0,62.0,199.0,22005.0,1450468248.0,0.0,17.5,6.0,0.5,822384000000.0,162.88514025777104,0.0,0.0,0.0,6.2,3.0,1.2,0.0
2447,1758.0,0.0,1.0,3.0,83.58,59.7,70.7540948275862,45.57,0.0,5.811138014527845,1463162723.0,1.0,40080200000000.0,62.0,199.0,22005.0,1450323941.0,0.0,21.292014028056112,19.191184738955823,13.587991967871485,550459056769.3319,96.0,0.0,65.05994256999283,0.06442307692307692,17.0,11.4,10.9,0.0
2448,4287.0,0.0,2.0,1.0,206.42,100.93,70.7540948275862,80.1,9549.464680281219,5.811138014527845,1463404404.0,0.9408583981074687,50822400000000.0,62.0,199.0,22005.0,1450466261.0,0.0,28.0,25.0,30.0,822384000000.0,162.88514025777104,0.16643835616438357,0.0,0.0,36.42,32.28,3.74,0.0
2449,13291.0,0.0,1.0,3.0,202.13,144.38,70.7540948275862,105.0,0.0,5.811138014527845,1462369955.0,0.0,28651786658649.11,62.0,199.0,22005.0,1450325285.0,0.0,21.292014028056112,19.191184738955823,13.587991967871485,888277000000.0,1.0,0.0,0.0,0.0,12.3,19.1,24.8,0.0
2450,14293.0,3.0,5.0,8.0,10.0,17.05,70.7540948275862,5.5,9549.464680281219,5.811138014527845,1463170530.0,0.9408583981074687,714905000000.0,62.0,199.0,22005.0,1450329242.378487,0.0,10.0,3.75,0.25,714905000000.0,162.88514025777104,0.16643835616438357,0.0,0.06442307692307692,10.0,3.75,0.25,3.0
2451,14840.0,0.0,5.0,8.0,14.0,13.48,70.7540948275862,7.7,9549.464680281219,5.811138014527845,1463170530.0,0.9408583981074687,714905000000.0,62.0,199.0,22005.0,1450329242.378487,0.0,12.0,4.25,0.5,714905000000.0,162.88514025777104,0.16643835616438357,65.05994256999283,0.06442307692307692,12.0,4.25,0.5,0.0
2452,857.0,3.0,1.0,3.0,288.75,206.25,70.7540948275862,165.0,0.0,0.0,1463162723.0,1.0,10080200000000.0,62.0,199.0,22005.0,1450322599.0,0.0,21.292014028056112,19.191184738955823,13.587991967871485,80196132808.0,1.0,0.0,136.0,0.06442307692307692,34.0,15.0,37.0,3.0
2453,14386.0,0.0,5.0,8.0,12.5,13.13,70.7540948275862,7.5,9549.464680281219,5.811138014527845,1457981256.0,0.9408583981074687,714905000000.0,62.0,199.0,22005.0,1450461491.0,0.0,8.0,5.0,1.0,714905000000.0,162.88514025777104,0.16643835616438357,64.0,0.06442307692307692,8.0,7.0,5.0,0.0
2454,14385.0,2.0,5.0,8.0,7.5,20.63,70.7540948275862,3.75,9549.464680281219,6.0,1463170530.0,0.9408583981074687,714905000000.0,62.0,199.0,22005.0,1450461489.0,0.0,5.0,4.0,1.0,714905000000.0,162.88514025777104,0.16643835616438357,0.0,0.06442307692307692,5.0,4.0,1.0,0.8763358778625954
2455,14352.0,0.0,5.0,8.0,20.0,17.99,70.7540948275862,8.0,9549.464680281219,5.811138014527845,1463170530.0,0.9408583981074687,714905000000.0,62.0,199.0,22005.0,1450461428.0,0.0,0.75,3.5,2.75,714905000000.0,162.88514025777104,0.16643835616438357,0.0,0.06442307692307692,4.0,3.0,1.0,0.0
2456,14779.0,0.0,5.0,8.0,42.5,30.81,70.7540948275862,21.25,9549.464680281219,5.811138014527845,1463170530.0,0.9408583981074687,714905000000.0,62.0,199.0,22005.0,1450461837.0,0.0,14.0,12.0,7.0,714905000000.0,162.88514025777104,0.16643835616438357,65.05994256999283,0.06442307692307692,14.0,12.0,7.0,0.0
2457,13215.0,0.0,2.0,1.0,24.02,24.03,70.7540948275862,15.5,9549.464680281219,5.811138014527845,1463404404.0,0.9408583981074687,50822400000000.0,62.0,199.0,22005.0,1450468254.0,0.0,20.0,10.0,0.25,822384000000.0,162.88514025777104,0.16643835616438357,0.0,1.0,5.5,3.75,1.5,0.0
2458,1842.0,3.0,1.0,3.0,33.11,23.65,14.85,15.5,32896.0,6.0,1462369955.0,1.0,884389000000.0,62.0,199.0,22005.0,1450324058.0,0.0,21.292014028056112,19.191184738955823,13.587991967871485,884389000000.0,24.0,1.0,418.0,0.0,5.0,5.0,7.0,3.0
2459,9143.0,0.0,1.0,4.0,459.38,218.75,70.7540948275862,175.0,0.0,5.811138014527845,1457980118.0,1.0,40884400000000.0,62.0,199.0,22005.0,1450331473.0,0.0,21.292014028056112,19.191184738955823,13.587991967871485,884389000000.0,162.88514025777104,0.0,0.0,0.0,25.61,5.12,7.0,0.0
2460,2310.0,0.0,1.0,3.0,80.7,57.64,70.7540948275862,44.0,0.0,5.811138014527845,1463162723.0,1.0,10884400000000.0,62.0,199.0,22005.0,1450324676.0,0.0,21.292014028056112,19.191184738955823,13.587991967871485,550459056769.3319,1.0,0.0,136.0,0.0,24.8,7.5,30.4,0.0
2461,4396.0,0.0,2.0,1.0,33.07,30.11,70.7540948275862,21.51,0.0,5.811138014527845,1463404404.0,1.0,50822400000000.0,62.0,199.0,22005.0,1450468249.0,0.0,14.0,14.0,3.5,822383000000.0,162.88514025777104,0.0,128.0,0.0,8.0,7.5,2.38,0.0
2462,2362.0,0.0,2.0,1.0,121.47,61.75,70.7540948275862,45.74,9549.464680281219,5.811138014527845,1463404404.0,0.9408583981074687,50822400000000.0,62.0,199.0,22005.0,1450466332.0,0.0,20.0,17.5,14.0,822383000000.0,162.88514025777104,0.16643835616438357,0.0,1.0,22.4,13.0,6.2,0.0
2463,1617.0,3.0,1.0,3.0,8.78,6.27,70.7540948275862,1.14,0.0,6.0,1462369955.0,1.0,28651786658649.11,62.0,199.0,22005.0,1450323724.0,0.0,21.292014028056112,19.191184738955823,13.587991967871485,80196734897.0,1.0,0.0,65.05994256999283,0.06442307692307692,3.6,1.75,1.25,3.0
2464,829.0,0.0,1.0,3.0,116.7,83.36,70.7540948275862,63.63,0.0,5.811138014527845,1463162723.0,1.0,40080200000000.0,62.0,199.0,22005.0,1450322558.0,0.0,21.292014028056112,19.191184738955823,13.587991967871485,550459056769.3319,1.0,0.0,0.0,0.0,19.25,21.0,9.25,0.0
2465,1607.0,0.0,1.0,3.0,79.49,56.78,70.7540948275862,43.34,0.0,5.811138014527845,1463162723.0,1.0,40080200000000.0,62.0,199.0,22005.0,1450323707.0,0.0,21.292014028056112,19.191184738955823,13.587991967871485,550459056769.3319,100.0,0.0,128.0,0.0,11.4,7.9,4.3,0.0
2466,1300.0,3.0,1.0,3.0,20.96,14.97,70.7540948275862,4.83,0.0,6.0,1463162723.0,1.0,28651786658649.11,62.0,199.0,22005.0,1450323221.0,0.0,21.292014028056112,19.191184738955823,13.587991967871485,80196668543.0,1.0,0.0,65.05994256999283,0.06442307692307692,2.25,1.25,6.25,3.0
2467,8196.0,0.0,1.0,4.0,45.15,24.94,70.7540948275862,17.2,9549.464680281219,5.811138014527845,1457980118.0,0.9408583981074687,10080200000000.0,62.0,199.0,22005.0,1450330201.0,0.0,21.292014028056112,19.191184738955823,13.587991967871485,80196568850.0,162.88514025777104,0.16643835616438357,0.0,0.06442307692307692,11.0,5.25,3.8,0.0
2468,997.0,0.0,1.0,3.0,115.26,82.33,73.59,62.85,64.0,5.811138014527845,1462369955.0,1.0,40080200000000.0,62.0,199.0,22005.0,1450322802.0,0.0,21.292014028056112,19.191184738955823,13.587991967871485,80196278520.0,1.0,0.0,8.0,0.0,26.75,10.12,35.0,0.0
2469,910.0,3.0,1.0,3.0,279.99,199.99,125.99,97.0,0.0,6.0,1462369955.0,1.0,40884400000000.0,62.0,199.0,22005.0,1450337999.0,0.0,21.292014028056112,19.191184738955823,13.587991967871485,550459056769.3319,1.0,1.0,136.0,0.0,28.0,11.0,30.5,3.0
2470,4518.398067872183,0.9871191478820907,1.6296755016101065,3.40029725043349,121.68332088623352,74.26604311199208,70.7540948275862,52.318191726529605,9549.464680281219,5.811138014527845,1462427670.052762,0.9408583981074687,28651786658649.11,61.543528210365075,199.0,22005.0,1450329242.378487,0.0,21.292014028056112,19.191184738955823,13.587991967871485,550459056769.3319,162.88514025777104,0.16643835616438357,65.05994256999283,0.06442307692307692,17.208216108054028,10.872749874937469,11.592447223611806,0.8763358778625954
2471,1453.0,3.0,1.0,3.0,142.21,101.58,69.99,78.14,0.0,6.0,1463162723.0,1.0,40080200000000.0,62.0,199.0,22005.0,1450323491.0,0.0,21.292014028056112,19.191184738955823,13.587991967871485,550459056769.3319,150.0,0.0,0.0,0.0,18.7,7.2,8.8,3.0
2472,1578.0,3.0,1.0,3.0,91.46,65.33,39.0,21.28,0.0,6.0,1463162723.0,1.0,10080200000000.0,62.0,199.0,22005.0,1450323673.0,0.0,21.292014028056112,19.191184738955823,13.587991967871485,550459056769.3319,1.0,1.0,0.0,0.0,19.0,18.5,4.5,3.0
2473,605.0,0.0,1.0,3.0,45.02,32.16,70.7540948275862,22.18,0.0,5.811138014527845,1462369955.0,1.0,40080200000000.0,62.0,199.0,22005.0,1450322267.0,0.0,21.292014028056112,19.191184738955823,13.587991967871485,550459056769.3319,24.0,0.0,128.0,0.0,13.4,11.9,8.3,0.0
2474,2627.0,0.0,2.0,1.0,22.99,23.27,70.7540948275862,16.05,9549.464680281219,5.811138014527845,1463404404.0,0.9408583981074687,50779700000000.0,62.0,199.0,22005.0,1450466717.0,0.0,22.0,1.0,1.0,779709000000.0,162.88514025777104,0.16643835616438357,0.0,0.0,25.25,3.5,1.0,0.0
2475,11015.0,3.0,1.0,4.0,15.44,18.23,70.7540948275862,5.88,9549.464680281219,6.0,1463162723.0,0.9408583981074687,30080200000000.0,62.0,199.0,22005.0,1450333478.0,0.0,21.292014028056112,19.191184738955823,13.587991967871485,80196324807.0,162.88514025777104,0.16643835616438357,0.0,0.06442307692307692,19.0,4.0,1.75,3.0
2476,822.0,2.0,1.0,3.0,59.95,42.82,70.7540948275862,31.03,0.0,5.811138014527845,1462369955.0,1.0,40080200000000.0,62.0,199.0,22005.0,1450322544.0,0.0,21.292014028056112,19.191184738955823,13.587991967871485,550459056769.3319,1.0,0.0,65.05994256999283,0.06442307692307692,17.3,13.6,9.8,0.0
2477,1206.0,0.0,1.0,3.0,173.88,124.2,70.7540948275862,90.0,0.0,5.811138014527845,1462369955.0,1.0,10080200000000.0,62.0,199.0,22005.0,1450323078.0,0.0,21.292014028056112,19.191184738955823,13.587991967871485,550459056769.3319,1.0,0.0,0.0,0.0,36.5,27.0,14.0,0.0
2478,13778.0,2.0,7.0,6.0,102.8,81.93,81.93,61.6,0.0,5.0,1457980121.0,0.0,656175000000.0,62.0,199.0,22005.0,1450468957.0,0.0,14.2,3.5,25.0,656175000000.0,162.88514025777104,0.0,0.0,0.0,20.0,8.0,8.0,0.8763358778625954
2479,986.0,0.0,1.0,3.0,40.88,29.2,70.7540948275862,20.14,0.0,5.811138014527845,1462369955.0,1.0,28651786658649.11,62.0,199.0,22005.0,1450322790.0,0.0,21.292014028056112,19.191184738955823,13.587991967871485,80196133713.0,2.0,0.0,0.0,0.0,5.25,3.0,17.75,0.0
2480,566.0,3.0,1.0,3.0,13.17,9.41,70.7540948275862,1.71,32896.0,6.0,1463162723.0,1.0,10080200000000.0,62.0,199.0,22005.0,1450322209.0,0.0,21.292014028056112,19.191184738955823,13.587991967871485,550459056769.3319,1.0,0.0,0.0,0.0,2.0,2.0,7.25,3.0
2481,11371.0,0.0,1.0,4.0,159.92,79.81,70.7540948275862,60.92,9549.464680281219,5.811138014527845,1457980118.0,0.9408583981074687,40080200000000.0,62.0,199.0,22005.0,1450334024.0,0.0,21.292014028056112,19.191184738955823,13.587991967871485,80196750217.0,162.88514025777104,0.16643835616438357,0.0,0.06442307692307692,16.7,11.3,10.6,0.0
2482,13778.0,2.0,7.0,6.0,102.8,81.93,81.93,61.6,0.0,5.0,1457980121.0,0.0,656175000000.0,62.0,199.0,22005.0,1450468957.0,0.0,14.2,3.5,25.0,656175000000.0,162.88514025777104,0.0,0.0,0.0,20.0,8.0,8.0,0.8763358778625954
2483,1369.0,0.0,1.0,3.0,59.89,42.78,42.78,31.0,32896.0,5.811138014527845,1463162723.0,1.0,40080200000000.0,62.0,199.0,22005.0,1450323359.0,0.0,21.292014028056112,19.191184738955823,13.587991967871485,550459056769.3319,72.0,0.0,0.0,0.06442307692307692,10.787,18.661,11.417,0.0
2484,2842.0,2.0,2.0,1.0,727.96,287.56,70.7540948275862,230.05,0.0,5.811138014527845,1460465770.0,1.0,28651786658649.11,62.0,199.0,22005.0,1450467003.0,0.0,80.0,36.0,6.0,822384000000.0,162.88514025777104,0.0,0.0,0.0,37.0,27.0,19.0,0.0
